,tweet
489,@BenJackd1 @yogagenie Fake news fake vaccinations id be surprised if they're even taking it
490,"@Athletics89 @realDonaldTrump The UK started vaccinations before the US.  

You are vaccinating with a German-made vaccine that Trump did nothing to except say the ""china virus"" was ""fake news""."
491,@thauserkstp i would worry about doing fake vaccinations https://t.co/oy5TOSTbFy
492,@RyanThorp8 What’s clear if you stop this video and zoom in his arm is blocked with pixels but it’s fake vaccinations 💉
493,@That_girl_Shaka Fo more research in this so called corona and vaccine with DNA changing method and fake vaccinations across the US and UK on live TV using retractable needles and the fact we are living the end time prophesies?
494,"Tout ce que vous voyez n'est que du fake. C'est du théâtre. En dehors des essais qui avaient éte réalisés auprès de volontaires.
Les vrais vaccins- poison ne seront pas livrés.
Et les vaccinations sont fausses.
Les gvnts sataniques, ne peuvent plus faire ce qu'ils veulent 😜"
495,@ElifNdb @eugenegu @realDonaldTrump There is no proof of a vaccine. All the televised vaccinations look fake. The plunger doesn't move on the inside. Look closely.
496,@WeTheInevitable Never believe fake vaccinations
497,"@Rita_Katz @realDonaldTrump Actually, it’s really NOT about him, it’s about our constitution. We’ve already seen the evidence of voter fraud and fake vaccinations on our own screens. People forget the internet see’s everything. Remembers Everything. We’ve laid down long enough. #IGY6"
498,"@JJMaples55_MST Who's blaming LeBron for negroes not wanting vaccines from a government that has used fake vaccinations to poison us for over a century... I don't like him, but how is us moving from a traumatized space his fault?"
499,@DemonsDestroyer @danwootton @RobertJenrick @RobbieRinder @ShirleyBallas @calvinrobinson @benjaminbutter @CharlotteIvers @Iromg @darrengrimes_ @DawnHFoster @DouglasKMurray How come all these celebrities and politicians are having fake vaccinations. What aren't they telling us? The fact that 3% of vaccinated people in the USA have had severe adverse reactions by any chance?
500,@ABrunzella @DebraLafonte @DonaldJTrumpJr Yup!!! The first televised Covid vaccination was on a black woman (besides the fake vaccinations given to politicians like Australia's First Minister where they left the cap on the syringe).
501,"These clowns, who called COVID-19 fake...NO vaccine! All lawmakers and supporters who voiced false claims and didn’t follow CDC, should not get the vaccine!    Republican lawmakers who downplayed coronavirus concerns face backlash over early vaccinations
https://t.co/NL2LianKbk"
502,"Listen to that! All those senator's saying it's a hoax..its fake news..boy..now they are first in line for vaccinations..not so fake now! But why them? I have friends that are hero's..working in the ER needing the vaccine but the ""nay sayers"" get it 1rst?"
503,@thehill At least they aren’t getting fake vaccinations like the left.
504,"Anyone have the ingredients to our miracle vaccine? Would you blindly drink or eat something without knowing what it was? Watching the Dems &amp; Fa uci getting their fake vaccinations is anything but convincing or reassuring. In fact, being first in line is highly suspect to me."
505,@CanonImages15 @5Agenda21 @GlynMcbride Remains to be seen.......of the five televised vaccinations I’ve seen one was pure fake ......one fainted on camera and two went into anaphylactic shock within minutes of receiving it......we’ll no doubt be updated
506,Conspiracy theorists are just going to think the televised vaccinations are fake and the real ones def still have mIcROcHiPs
507,"@dwallacewells @Area_Resident Brilliant.  They try to make denying vaccinations to the elderly about race to stir the pot, but it’s really about keeping the fake numbers up to keep their fingers in the pot.  Thank you."
508,"@realDonaldTrump dear mr president @realDonaldTrump, i could not agree more with all you have accomplished with 2 exceptions: missiles on syria after fake chemical attack and the vaccinations - changing peoples dna more even in light of microsoft patent 666 of april 2020. this is a trap. 😥😪😢"
509,"@senatemajldr @SenateGOP All getting vaccinations for a fake virus that's no worse than the flu!

I'm assuming mainlining bleach and shining a light up their asses didn't work then? https://t.co/rcEaMmtldy"
510,Why are so many Dems in Congress getting their fake vaccinations? What’s their agenda by publicizing this?
511,"Republican lawmakers who downplayed coronavirus concerns face backlash over early vaccinations
https://t.co/jvBncyuqHf. Wow the people who said The virus is a fake or not serious are the first to get a shot.  Tells you how they really feel about the virus. #twofaced"
512,"@ScottAdamsSays These aren't ""Trump Vaccinations"". if they were then people would assume they were going to be like Trump casinos, Trump Steaks, trump Ties, and Trump University. A cheap fake unreliable product that doesn't do what it's supposed to. Everything Trump touches turns to shit"
513,"Wow, they love this narrative of @AOC vs @IlhanMN  over COVID vaccinations; nothing like drumming up a fake media cat fight."
514,"@LucyDi999 @Squirrels_Mama @EntheosShines TRUTH!! Let these idiots die on their on stupidity, I'm tired of protecting them against themselves!!

Just make sure they sign a waiver, that they're sure it's fake, so they will not be allowed ER help nor Vaccinations!!"
515,Republican senators so it’s a fake virus but you want to be first in line for vaccinations? Which is it?
516,@natemax @fake_biden They deserve NO vaccinations PERIOD.
517,@MeidasTouch You just knew that these cowards and traitors would rush to the head of the line once vaccinations began.  Why would you need a shot to protect from a “fake virus”?
518,"@WhatsEuroPinion @RUNWITHSCIZSORS @rob_miller12345 There have already been faked high profile vaccinations staged for television, it's perfectly plausible that this is fake."
519,"@ganiafote1 En Australia ni placebo
Alex Newman (@ALEXNEWMAN_JOU) twitteó: Fake vaccinations for your overlords, real ones for you. Caught on tape.... cap is still on. They think we're all idiots. If you get one of these, maybe they're right! https://t.co/BsXKMeYmH8"
520,"Why are we seeing so many politicians and well known people presenting Fake vaccinations, where the syringe is empty?"
521,@chrissyraebrown @BidenWin2020 @MattBinder You idiots went from mandating vaccinations to suggesting giving fake vaccinations. Showing once again stupidity has no bounds. If anyone should be suggesting healthcare policy it's definitely you fools.
522,These ppl that say covid is fake n shit are first in line to get vaccinated yet the first responders and people that are at risk everyday have to get their vaccinations delayed. We live in a flawed system. Fucked up fr. https://t.co/k7v2rCaKcb
523,"Fake vaccinations. What next? Cartoon characters allowing other cartoon characters to stick needles into the Simpsons, etc. https://t.co/ZEOJiBboa3"
524,@rolandsmartin What’s next? Pop up clinics giving fake vaccinations. I’m sure some people will say ‘ no way in hell ‘. Same  people who said the same about fake testing sites. Sigh
525,"@CNNPolitics But Democrats who have screamed that vaccines should go to the most vulnerable &amp; minority communities first have been getting their vaccinations. 
Fake outrage? More like selective outrage."
526,"@ProudRe37440474 @SperanzaLou @nypost Exactly...So call truths (Fake news/ Matrix) are around us. Just like these election fraud, pandemic and vaccinations. Trump is NEO, the One. Sorry No others since DC0. https://t.co/GoQHQEK1QF"
527,@BidenWin2020 @MattBinder Think it’s FAKE?  Give them FAKE Vaccinations.
528,"@Jim_Jordan Those Republicans that believe the pandemic is fake, should get fake vaccinations."
529,@Zephyrlot Man I really worry that the record keeping for this isn’t more advanced. People are just gonna fake their vaccinations :(
530,"@allinwithchris And the vaccinations have disproportionately gone to the RADICAL Republican right wing extremists, that refused to wear mask. Hoax, Fake, GOP Hypocrites getting it both ways, ""I'm not on fire, but unleash the water hose on me."" USA LIBERATED white privilege rules. Stop kneeling"
531,Mmmm. I dont know about you all but all these vaccinations that they are giving on television look fake to me.
532,Bruh why they gotta do these fake ass vaccinations on TV like we cant see through that shit??
533,"This is how you take care of yourself.    With Science, not fake news.  Vaccinations still need a good functioning immune system in order to work.   Only a healthy body can supply that.
https://t.co/ABak2Iw7aE"
534,"@Habia_2 Es fake. ""Advocate Aurora Health reminded that the four people who experienced the adverse reactions account for fewer than 0.15% of the approximately 3,000 individuals who have so far received vaccinations throughout their health system."""
535,"@realDonaldTrump I wonder if we can calculate how many Black citizens will be killed by the fake news industry who created the Fine People Hoax and the Drinking Bleach Hoax, thus reducing trust in Trump vaccinations. Democrat governors and senators are helping America public dies Trump saving us."
536,"@realDonaldTrump I wonder if we can calculate how many Black citizens will be killed by the fake news industry who created the Fine People Hoax and the Drinking Bleach Hoax, thus reducing trust in Trump vaccinations. Trump is a real leader. Main stream media enemy within"
537,"@realDonaldTrump I wonder if we can calculate how many Black citizens will be killed by the fake news industry who created the Fine People Hoax and the Drinking Bleach Hoax, thus reducing trust in Trump vaccinations. Trump is Superman"
538,"1. The pandemic isn't fake
2. The election is over
3. Vaccinations are safe. Risk v reward threshold a million miles passed.
4. Q isn't MI, it's a LARP that out grew 4chan and is now monetized.
5. The Browns are in the playoffs!

I'm not 100% on that last one."
539,@thehill Well why are Republicans getting vaccinations on camera if this lockdown is all fake?
540,"@nudgee4014 @Azmag_ @Mediavenir Ah mais c’est bizarre, il y a déjà des vaccinations obligatoires en France. Mais bon ça fait pas des Rt et des favs d’être logique, donc on divulgue des fakes news"
541,If they’re going to deny the vaccinations of American people so we can get this under control and get back to work. They shouldn’t receive any medical care when they get Covid. Trump is telling them it’s all fake. But what do you know Florida doesn’t want Trump back. https://t.co/dyKrkFXd5G https://t.co/73KqQ7w576
542,"@pattonoswalt People are saying Ernst didn’t get the vaccine, she got a placebo dose of saline. The person who jabbed her is a deep state operative. She is not inoculated against Covid-19. The deep state is trying to kill GOP politicians through fake vaccinations."
543,"I understand that they're hoping to instill faith in people who question vaccines, but those people are always going to find an excuse. Already seen stuff going around saying politicians' vaccinations were fake. Just focus on helping people who need and deserve it first https://t.co/QOdhZCicQC"
544,"@DWUhlfelderLaw People are saying Rubio didn’t get the vaccine, he got a placebo dose of saline. The person who jabbed him is a deep state operative. He is not inoculated against Covid-19. The deep state is trying to kill GOP politicians through fake vaccinations."
545,Radical Democrats move to the front of the line for Covid vaccinations https://t.co/BK5lCQe3Jh That's all fake news BS they're getting placebo's because the vaccine is very dangerous.
546,I know I’m not the only one seeing these ppl getting fake vaccinations on live tv. LIKE YALL CANT BE SEROUS
547,"Who remembers the time when the CIA organised fake vaccination drive to get Osama bin Laden's family DNA. #vaccinations 

https://t.co/e8qozRZRKD"
548,But it’s fake! So let someone who believes there’s a reason for vaccinations take it! NOT YOU 🤬🤬🤬🤬 https://t.co/X3ja8ICgBM
549,"@ScottBaio False flag shootings with crisis actors like sandy hook &amp; others, and now fake vaccinations and reactions, it is so in your face you have to be complicit in the farce to not call it what it is .......🐂💩"
550,"They thought COVID was fake, yet are first in line for vaccinations 🧐"
551,"I wonder if we can calculate how many Black citizens will be killed by the fake news industry who created the Fine People Hoax and the Drinking Bleach Hoax, thus reducing trust in Trump vaccinations."
552,Those who cried “fake!” the loudest sure don’t seem to mind being front of the line for vaccinations. https://t.co/hVimzqrgU5
553,"@chuckwoolery @frannyettie No, I hadn't but we escaped CA over the weekend so we've been busy. The picture of Nancy P getting one is bogus, the cap is still on the needle. So many videos showing fake vaccinations of ""leaders"". Do they really think we are stupid?"
554,Why they giving vaccinations to people who think all of this is fake https://t.co/KogsClSUg3
555,"@Gogoro7 @chelseahandler Soooooooo tired of you people crying ""fake news."" Should we blame this on your illiteracy, Trump sycophancy, or both? 

""Occupational Safety and Health Administration (OSHA) regulations do not require gloves to be worn when administering vaccinations...""
https://t.co/y6jlqwUzQt"
556,"@WhiteHouse #COVID Task Force report: ""Texas isn't doing enough to stop winter surge"" .. well .. 
let's start w: no masks in @HEB Atascosita , then fake vaccinations⤵️, @GovAbbott
started this silliness w/that woman in #Dallas ...
https://t.co/VozEm2uNHn

 https://t.co/8T75OKVm3m"
557,@darrenhayes @GOP We’re finally seeing the flip. All the people on that side that’s rote it off claimed it was fake. Didn’t wear masks are stealing vaccinations from the people who need it firsts. Fuck them all @joniernst
558,"@4CosmicLove The link between vaccinations and autism was the subject of an important paper.

Because it was so important, hundreds of scientists wanted to learn more. They all found that t paper and its methods were fake.

That paper has been withdrawn. It happens in science. Truth will out!"
559,"@marty_poirier19 Exactement pour cela que je ne suis aucunement impressionné par les vaccinations devant les caméras par des personnalités politiques.
#fake"
560,"Republicans: Covid is fake news designed by the Democrats to steal the election! 

Also Republicans: Where's the head of the line for Covid vaccinations?"
561,"I feel like the people who claimed it was fake and a hoax should be at the back of the line for vaccinations, but that's just me. https://t.co/f2LFBzbryV"
562,Watching all the politicians who said COVID-19 was fake get vaccinations before everyone else is some sort of dystopian fantasy I swear
563,"Crazy Phil LOVES the Fake News networks (CBS/MSNBC) because they ask him VERY EASY questions!  Journalism is truly dead. ⁦@GovMurphy⁩ 

N.J. plans half-million COVID-19 vaccinations in next month. Moderna doses arrive today, Gov. Murphy says. https://t.co/VX7bxZvTNp https://t.co/M2ZYXwPPYl"
564,@RealCandaceO A lot of fake vaccinations too. People not paying attention
565,"@BoSnerdley @BIZPACReview I'm starting to think everybody who gets one of these fake phony vaccinations are really being targeted for their traitorous actions
https://t.co/DdoY7yvF2t"
566,@jillreports did I hear you chitchatting this morning about fake vaccine on the internet again? Pretty sure the people not into vaccinations and those into fakes may be an issue 😳. How can a dog 🐶 protect a herd when they spread out?
567,"@RealTina40 The only reason politicians are doing STAGED, FAKE TV vaccinations is to dupe you into thinking they’re just like you and we’re all in this together.

Nothing could be further from the truth. Remember, Gates, Fauci, the wealthy elite, and royalty will NEVER be subjected to this."
568,"@ihatematt A lot of the vaccinations weren’t real- caps on, fake needle, b-12 shot perhaps? BUT I think this would be epic 👏🏼"
569,@BreitbartNews These fake vaccinations are boring.
570,"@vikb73 @InxsySparks @GovRonDeSantis @SecAzar Sorry, but you took the bait on fake news.  It happens. 

Here's a story  from 7 days ago about the Pfizer vaccine rollout in Florida and the first recipient.  

They've been doing lots of vaccinations in Florida.

https://t.co/u7vBzs4d4i"
571,"@InxsySparks What's your source?

It's a shame to spread fake news knowingly. 

Here's a story  from 7 days ago (way before your tweet) about the Pfizer vaccine rollout in Florida and the first recipient.  

They've been doing lots of vaccinations in Florida.

https://t.co/u7vBzs4d4i"
572,"@pecriel @InxsySparks Sorry, but you took the bait on fake news.  It happens. 

Here's a story  from 7 days ago about the Pfizer vaccine rollout in Florida and the first recipient.  

They've been doing lots of vaccinations in Florida.

https://t.co/u7vBzs4d4i"
573,Just read that Covid deniers and anti vaxxers are claiming the vaccinations are fake because they can’t see the needle after it’s been given 🤦🏻‍♀️ it takes two seconds to find out about retractable syringes and common sense to understand the safety aspect.
574,@RealCandaceO @HendonGooner Fake vaccinations 💉. They might tell us it’s faked because they don’t want to prevent someone more deserving getting the vaccine but we all know it’s cos they’re full of 💩
575,"Why is the media doing high profile vaccinations on video that are clearly fake? Watch carefully, there was never a vaccine in this syringe. https://t.co/bIZ9mLYHlj"
576,"Watch “Fake Vaccinations, Space Guardians, Alien Virus Vax, China Hacks” on #Vimeo https://t.co/DJ6ADJwRyp"
577,"@gravydinner1 @NuwsOvDaWorld When you say its a fake video, you imply there's no drive thru vaccinations occurring. Go do your own research and prove me wrong."
578,"Is this a general question on vaccines? They have been around for over 200 years. We have irradicated smallpox throughout the world; reduced polio; measles; mumps; rubella. Unfortunately, there is a lot of fake news and by not having vaccinations we increase the risk of pandemics https://t.co/yeCosnmGCY"
579,So politicians get to have fake vaccinations while the country’s people get a death dose.  Nice ! https://t.co/bsTP7Eg24k
580,Facebook Removes Anti-Vaccine 'Fake News' in Israel: Ministry of Justice: Facebook has taken down content that spread lies in Israel against coronavirus vaccinations as the government seeks to drum up support for the programme. https://t.co/Qd6c6TtVR2 https://t.co/nNXzMGkgb6
581,"He's definitely on to something. Not to mention the fake vaccinations. Empty syringes, no needle syringes. What the fuck!!! https://t.co/c6HD0bw8pk"
582,"More fake vaccinations ... 
#NOVaccine #COVID19 #vaccination https://t.co/WC1b85Cblu"
583,"@RealCandaceO Fake vaccinations, too.  With the caps left on.  That really helps build their credibility, when these idiots didn't have any to begin with"
584,"@jojodixon76 @Kenny_Sowellfan @realDonaldTrump @Kenny_Sowellfan @somedare @jojodixon76 @DineshDSouza 
He filtered thru false data &amp; delusions from CDC, CHINA, WHO, NYT, CNN, etc., then educated people smart enough to watch non fake news stations to follow science, use good judgement.
Also: WARP SPEED VACCINATIONS to end COVID"
585,"@RealSaavedra @bamabailey42 Did we see the original vaccine flask? Because I don't believe many of these ""official vaccinations"" anymore after seeing so many fake ones. Maybe she was injected with saline."
586,"""Hmm.. So if one could scare a population, lets say with a fake pandemic, and then promote vaccines as the only solution to get back to a normal state. Then prep the vaccines with this tech and then force mass vaccinations across the globe and at the ending having a ability to..."
587,More fake vaccinations... https://t.co/zMnCVIreOh
588,"Well other than the photo op staged vaccinations, it’s been over 24 hours and not a dang thing going on,no one getting vaccinated,trump has done another one of his con jobs folks...be careful ,he will even have it  commandeered and hidden ,and replaced with fakes ,yes he is sick"
589,@NECN Thus taking away vaccinations from 2 people out there who actually need them.  NECN honking themselves off to everything Faux-cahontas does is so tired and gross . Get it together ... she’s fake as a pair of plastic breasts.
590,There you have it. “Accelerate the vaccination program” that’s what this is all about. Government knows nobody will take the vaccine so just as the vaccine has been released they’ve come up with this fake new mutation funnily enough. Next step is mandatory vaccinations for all https://t.co/4b6WYVBBDQ
591,"@JulieF @AnandWrites The ones who need to see it's safe are also the ones who will say the vaccinations being given to leaders are FAKE.
You're aware of the insane BS these crackpots actually believe right?"
592,Fake covid vaccinations https://t.co/KyVVPBbdfT
593,@LizBTropez @dancurry61 @peeweeherman Fake news. The incidence of SIDS is the same in children who do or do not receive vaccinations.  Stop buying the anti-vax bs.
594,"Watch “Fake Vaccinations, Space Guardians, Alien Virus Vax, China Hacks” on #Vimeo https://t.co/wSjXTGcVVy"
595,"@yaYunus_yaYavuz Tell us where the ""FAKE vaccinations"" are."
596,"@mmpadellan In fact the so called elites that are getting vaccine, Anons called out as traitors. Either we're watching fake vaccinations, looks like some needles may have cap over needle. Or we're watching public executions of traitors, a delayed bad reaction. Many Reps as Dems are traitors."
597,"All the politicians getting vaccinations isn't going to do a damn thing if they don't talk about getting the vaccinations. Photo ops will be shot down by the nutcases as fake, and the only thing that they accomplished is jumping to the front of the line."
598,@CarolineCoramUK Internal borders are closed. External borders open. None of this is supposed to make sense. They are laughing their tits off at all of us. The masks. The distancing. The lockdowns. No evidence of virus isolation. Televised fake vaccinations. Time for a rebellion. Enough is enough
599,@VerumBellator1 @NuwsOvDaWorld That’s a fake video. We do not go to car parks for vaccinations in our cars!!! We get doctors appointments through the NHS. There are no drive through vaxs in cars by people in wool hats &amp; yellow vests!
600,@snackvampire Anyone who is still a vaccine skeptic at this point will just assume the vaccinations are fake. Waste of perfectly good doses
601,"La grande imposture des vaccinations en live, avec une seringue vide svp, admirez l’artiste! #fake #Vaccin #COVID19 #coronavirus #usa https://t.co/g6gLL8d1pt"
602,He isn’t an essential worker. Why is he even in the first round of these vaccinations? Plus I thought he said it was a fake virus. He and others like him should be the very last to get the vaccine. https://t.co/cKq5VeTF5W
603,"Lol what a "" Fairchild"" 

Yeah right Did ya enjoy watching the fake tests? The fake vaccinations ? 

Like Mike fakes his? All of them! Jeff Bezos opera and all the sell outs! Like their private flights to China? Hmmm #usa #wethepeople"
604,"@quen43 @WhipLash347 I am confused by all the obvious fake vaccinations of politicians. If they are really faking it, why not make it look real. You only have to insert a few frames of a real injection. This is intriguing!"
605,@APhoenixRose1 @DC_Draino The videos of the so called vaccinations. Mike &amp; Karen Pence really didn't get the vaccine. Mike's was so fast that you could tell it was fake. The nurse doing Karen's had her arm so you couldn't see anything. The nurses on the other videos 💉 was pushed already and empty.
606,@MattHancock @BorisJohnson fake vaccinations of celebrities #fraud #treason #prison have you ever heard of the Nuremberg code?
607,"@Kyle_Mullica I've watched a number of fake vaccinations. Yawn. So the shot will prevent you from getting corona viruses?  Will it prevent you from transmitting disease?  No masks? You know the answer to all 3 questions is NO.  So, were you simply unaware, or are you shilling deception?"
608,"The same fake, phony and lying politicians who support Trump telling people #COVID19 was a hoax, are now taking vaccinations. But their supporters still believe it is not real. @marcorubio you should be in jail. Millions of sick and dead people because you did not have a spine. https://t.co/5ehRz28mhg"
609,"If Covid-19 vaccinations are so safe &amp; effective, why are so many televised receiving fake injections? @HermanM36169986"
610,@Christo70953309 @nmlinguaphile Have you seen the other videos &amp; pictures of fake vaccinations? This is like the 4th or 5th time I’ve seen it. One of them they used an empty syringe. As soon as they get caught they claim it was an “accident”. How many “accidents” are happening then?
611,@ksorbs Add fake televised vaccinations to that list
612,"Stolen election, fake pandemic, and now the vaccine charade on parade- High Profile Covid-1984 Vaccinations Faked? https://t.co/Ou7ANnQJOF"
613,"@marcorubio Have we reached 100% vaccinations for politicians 100% against masks and shutdowns under he guise of a ""fake virus""?

Sure seems like it!"
614,"@FAKE_Investiga Depuis hier l'hôpital de Chicago arrête les vaccinations ARN M , à cause des risques importants des effets indésirables, et ça après seulement 2 jours de vaccinations..  apparemment ça ça ne t'intéresse pas tu préfères relayer les mensonges..  continue de manipuler les faibles"
615,"@FAKE_Investiga Depuis hier l'hôpital de Chicago arrête les vaccinations ARN M , à cause des risques importants des effets indésirables, et ça après seulement 2 jours de vaccinations..  apparemment ça ça ne t'intéresse pas tu préfères relayer les mensonges..  continue de manipuler les faibles"
616,"@PearlsStarz I definitely understand your skepticism especially considering El Paso was exposed for promoting fake vaccinations on live TV.  Meanwhile, a Chicago area hospital has already haulted the vaccine due to adverse reactions. https://t.co/ZGfH9DOkiZ"
617,"Between the no-mask governors, mayors, and other govt officials, along with the fake vaccinations (Pelosi, Saddiq Khan, Australian official, El Paso nurse)... this is getting old https://t.co/sWr9FYHoHM"
618,"@BreitbartNews I'm gonna be generous this year  donate my family's vaccinations to anyone in Hollywood or Washington DC that need them.  So far every photo I've seen of a ""vaccination"" is staged &amp; fake. The orange cap must be removed for anything to come out of the syringe. LOL"
619,"@DarrenSingh19 @55true4u That's right, and not having any part of a wing sticking out anywhere. Must have been retractable wings, like the fake injections being used on televised vaccinations 🤨"
620,@Patrice822 The fake vaccinations was enough to keep me skeptical. I will be signing the waiver at my job b/c I will not take anything that was developed in a yr’s time...uh nope
621,More fake vaccinations https://t.co/OKNt5js4Ee
622,@AaronVells @netanyahu Y a que des fake vaccinations qui tournent
623,@NickPonticello @marcorubio Because he’s fake. The entire @GOP is fake. They’re taking vaccines that belong to health care workers while they sit on their asses and fight over help for the American people. I worked last night until 4am giving vaccinations to my fellow doctors and nurses. Many tears. ❤️😷
624,"As of this past Friday, I’m glad to say that both of my parents have gotten their first vaccinations as frontline healthcare workers. To anyone who doesn’t believe in vaccinations, or that this pandemic is fake, I want to say, unequivocally, fuck you."
625,"On Facebook, doctor friends and relatives are sharing pics of their vaccinations, anti-vaxxers sharing memes of how fake it all is 😤"
626,@UMCSN Giving fake vaccinations shots still?
627,"2020...
A virus less deadly then a cold.
Fear porn 24/7.
Masked complying citizens.
Small businesses destroyed.
Stolen elections.
A fake President Elect.
Lies.
Media cannot speak ANY truth.
Fake television vaccinations w/ disappearing needles &amp; already depressed empty syringes.
?"
628,"@coachputz2018 @Jewelshepard @CNN Magical beings that fly around with reindeer with nearly infinite gifts don't need vaccinations. It's obvious!

This is all just fake news!"
629,@marcorubio Next time have them take the cap off. What’s up With all the fake Public vaccinations?
630,"@ABC @OneThingYCD And now brace for all of the conspiracy Qooks to pass their “evidence” around online that these on camera vaccinations are fake, that they’re just getting glucose shots or sth of that sort... George Soros, Bill Gates, The Jews, Antifa, etc, etc..."
631,"We are Noticing a LOT of Crisis actor and fake vaccinations.

What's really going on??? https://t.co/MTTBnF8qZZ"
632,@usatodaylife More fake public vaccinations.....
633,I have 0 tolerance for fake news and misinformation about vaccinations imma be in anyone and everyones comments if they post unverified info
634,@KFOX14 Why are all these public vaccinations FAKE? So bizarre??
635,"Fake Vaccinations. It is that simple.
https://t.co/brtWRvfne1"
636,"@mtlgazette @healthing_ca Does it matter? All public vaccinations are fake shots anyway, bad actors, dumb as hell"
637,"@DineshDSouza There's something very suspicious and wrong here... why else would they give FAKE vaccinations?? What's REALLY in the vaccine?? Or is there a problem??

I smell a RAT... a great big stinking DemonRat...!!!
😠😠😠😠💩💩💩💩😠😠😠😠"
638,Whose idea was this to FAKE vaccinations??? Mine will be FAKE also. https://t.co/t5H8nfArUg
639,"@catturd2 De toute manière, toutes ces vaccinations devant les caméras sont des fakes !"
640,"@Chat_Mort I've got no problem with vaccinations but all this shit is so stupid, like literally just inject anything in, no one would know the difference they would just see something being injected.
Why are there so many videos of fake injections? lol"
641,"@SpeakerPelosi So fake vaccinations now?  At least you are wearing a mask!  Let me get this right, this virus is sooo bad but yet you aren't getting vaccinated?  Hmmm..  I am confused!  Can't have it both ways..... https://t.co/9J4GyL6qS3"
642,Having seen a few pics of fake vaccinations (including a retractable needle) I'm pretty sure I'm not going for it... https://t.co/HmZIrNEgu3
643,"@DazzlerLUFC @Nigel_Farage Stop posting fake news.
China plans to inoculate 50 million people with two experimental homegrown Covid-19 vaccines before February’s Lunar New Year holiday season, leading up to vaccinations for the broader public by spring, people familiar with the matter said.

The wall St"
644,@PearlsStarz They're empty or fake vaccinations.
645,"Psychic crime tip readings say many Gang Stalkers are Gov Agency case workers, Child Protective who say they can take kids to force shots vaccinations and. It's for kiddy porn. The fake CPS DCFS women are pedophiles doing kids porn and meth heroin addicted. DRUG TEST CPS  DCFS!"
646,by now i know a lot of you have seen the videos of people getting fake vaccinations and others having extremely horrible side effects from taking the “real vaccine” but yet y’all still don’t believe anything I’ve been saying about this “PLANdemic” ...
647,"@RealStenoJenny @cuban_manny All of the high profile vaccinations have been fake, just watch @Mike_Pence and the 2nd lady get there’s. #Fakevaccinations"
648,@KayeAleja exactly. but at the same time when i see these fake vaccinations on important people on live tv where there’s nothing / empty syringe or no needle 😐😐
649,Will The Mortgage Order Mills Demand Vaccinations For Their 1099 Inspectors? … Lots Of Fake News On Vaccinations https://t.co/WGQjZv8BiH
650,@Bmac0507 @redsteeze I’s good to know Fauci and the hospitals are coordinating with announcing fake vaccinations to the general public.
651,Why are all if these professionals administering fake vaccinations all over the TV??? https://t.co/G5kg0vc673
652,@CNN As believable as all the other FAKE Vaccinations.
653,@Goss30Goss @Dodie609 Give them the placebo that the test control group got.  Fake vaccinations for people who claim it's a fake pandemic seems appropriate.
654,The staged vaccinations are as fake as the celebrities who posted videos claiming they had covid and we should all stay at home to save the world back in March/April.
655,Too much tech out here for healthcare to stage these fake vaccinations smh
656,"➡️ Il s'agissait donc d'un malaise/évanouissement lié à la douleur de la piqûre, comme cela peut arriver après de nombreux types de vaccinations. 
🔗 https://t.co/cgipycbe5U"
657,"@alanfriedmanit “.... January, just as they get going on vaccinations” ... sounds like Fake News"
658,"@GovMikeHuckabee They are probably just doing photo ops like the fake vaccinations of 5 nurses, or shall we say non-vaccination. They know how toxic &amp; dangerous it is. But they want u &amp; me to vaccinate so they're doing their photo ops pretending they're getting vaccinated, to encourage the sheep"
659,"@CandiceCodyMD @JPCodyMD @VHC_Hospital https://t.co/J4wzuBODkY
We have no idea if you're telling the truth. Most video'd vaccinations seem to be fake."
660,"@davidjamessims @bmbmoto45 @johnpecco1 @JohnRicho45 That cap stayed on right through the pretend execution. I've given vaccinations, started IV's, did blood draws... this is faked. I'm starting to see a pattern here. It's either we see these fakes or not even remotely seeing the actual stick."
661,@nypost All these made for tv vaccinations are fake. I’m not buying it and I hope no one else is. #fake #vaccine #WakeUpAmerica you’re being played.
662,"@3dirtymartinis @JamesTodaroMD I'm hoping these ""fake"" looking vaccinations by doc and nurses is their covert way of actually making us skeptical because they know it's a mess."
663,"Fake CoVID-19 vaccinations on TV are possible. Watch carefully!

https://t.co/fqe46L8KDC

#vaccinatie #COVID19 #vaccinatieplicht #elite"
664,"Fake vaccinations, fake syringes, now fake patients? Nothjng is off limits to those political vermin is it? https://t.co/7LLFnW0B1Z"
665,@Ernestonewage @CiudadanoDoe It happens around the world. Fake vaccinations. They are sure we are stupid.
666,@EricMMatheny Trump is the government right now. The same government holding up many of the vaccinations that Trump wants credit for developing that helps us all for a fake virus that Chris Krispy almost died from and Herman Cain died from. Hmm
667,Here are fake covid vaccinations caught on video. A woman fainted from it as well is proved to be genuine But fact  checkers which are opinion or deceptive checkers dismissed it. https://t.co/2DKi7n1hV4
668,"@Z_undercover_ Most likely the “big one” that’s in this “vaccine” that is proving to be not such a “game changer”. Your still be encouraged to mask and socially distance, Bell’s palsy, fainting, extreme pain,anaphylactic shock,post vaccine sickness.Did I forget fake televised “vaccinations”?"
