,tweet
60,@CloisterOfSmeg @MockDelbourne @MarxmanHart @LabourList Serco isn't involved in vaccinations. Fake news. Read that bullet point about challenging disinformation.
61,"Et allez, encore un bon fake qui circule.
Le médecin n'existe pas, c'est carrément écrit en bas. 
La fédération suisse de la protection vaccinale n'existe pas. 

#vaccinations #COVID19 https://t.co/A2nG69dfmj"
62,"@KamalaHarris @JoeBiden What abouth your FAKE vaccination ,and you are not the only one,more prominent people got Fake vaccinations,Wonder WHY???????"
63,Fake NHS email/ Text/Facebook messages It seems that a fake NHS email/ Text/Facebook message is circulating and offering vaccinations and requires further information including banking details. Now I know we all feel we can spot a scam from a million miles https://t.co/BUjOwafDBG
64,"#mrsam144 #lepetitpoint #zetetique #vaccinations #JeMeFaisVacciner @MonsieurPhi @docprimum @MrSam144 #NoFakesScience
❓ Comment ce complotiste a-t-il commencé à changer d'avis ? • Le
Petit Point d'? Mr. Sam 
 https://t.co/mtSsC5oJEe via @YouTube"
65,There is no concrete plan for mass vaccinations meanwhile the military and the presidential security gets vaccinated with illegal and smuggled vaccines. This is being covered up along with the police kill!ngs by a fake ra/pe-slay to divert the attention of the media and the gp.
66,"@awwplaya @AtkristenS @swheeler2 @BNadsady @DatGlacierBoy @GavinNewsom I never said Covid was fake, it’s being overplayed though and used to gain control. I’ll get the vaccine, when it’s time for gen pop, I believe vaccinations are the means to an end, but I want the healthcare &amp; elderly to get it first, and the everyone who is afraid"
67,"Continuing the previous tweet, to those who say ""Its just a flu cause the numbers are fake"" should know these numbers:

21.3 million cases in the US
368,000 dead
131,000 in the hospital
259,000 new cases
4,000 new deaths
430,000 new vaccinations

Just a bit longer, we can do it"
68,"@TrumperWavin You'd think after not locking up 1 fucking deep state character and pushing Vaccinations from Gates for a fake FLU Pandemic, declaring a National Emergency giving power to FEMA, giving states Emergency authority to issue lockdowns and mask mandates y'all would wake the FUCK UP https://t.co/Mwf7HKPYw7"
69,"Fake Eventbrite listings are posing as local Florida health departments and targeting seniors, charging money to register for vaccinations. https://t.co/hXvMfyHEHJ"
70,"@fitz_meagan @metromorning Its impossible to vaccinate faster than you are receiving vaccines, unless you are giving some people imaginary/fake vaccinations. This is the guy in charge? Yeah...we may be doomed."
71,"It’s all rigged. The whole Capitol storming is staged.These are a bunch of libtards hyped up on their fake COVID vaccinations acting on behalf of antifa in disguise dropping fraudulent votes in the mail along the way.
#Trump #America"
72,"@fake_biden @AndiJohnson1 AND for the more than 350,000 dead from COVID-19 while he planned this instead of planning vaccinations.

@JimJusticeWV @Sen_JoeManchin"
73,"Not quite sure what you are talking about here, @kurtsiegelin. January 5th was in our press release announcing the vaccinations.

Maybe this exact moment is not the time to continue to tweet fake news? https://t.co/Dnt8eUFeOy https://t.co/RNl8XzMhef"
74,"@fifi_j Says the person who has put everybody under house arrest. Destroyed lives &amp; businesses. Wrecked the economy, based on false tests, fake infections, distorted deaths &amp; now wants mass vaccinations of some cobbled together cocktail without it being  independently assessed."
75,All of those politicians are going to have to get those fake vaccinations again because of that trump rally break in
76,"@G23Mld Poiché nessuno può controllare ecco che i 
#fakevaccinations vengono immediatamente debunked dalla rete senza tema di smentita.

https://t.co/x0mG8b6bdk"
77,"#lci
#24hpujadas 
Pujadas essaie de placer ses fakes : 
- Les ephads
- Le choix de vaccin 
- Le démarrage des vaccinations 
- Le nombre de vaccins 
- Le variant anglais 
Fontanet n'est pas le perdreau de l'année 
Bravo 👍👍👍👍👍👍"
78,"Vaccinations are as fictitious as the Covid 19 A ,PLANDEMIC vis-a vis  pandemic .
Proof of Covid 19 ,Fake and planned ! https://t.co/3P7chVliIC 
PMjee is conspicuously promoting UN Agenda 2030 !
https://t.co/YVgHCHtpep"
79,"@schiller1806 @MaxCRoser @HelenRushby1 If you mean that Israel does not vaccinate Palestinians, it is because according to Oslo agreements Israel does NOT deal with vaccinations. STOP FAKE NEWS!!!"
80,Why being against vaccinations is being immediately labelled as conspiracy theory or fake news? Doesn’t that in itself tell a lot? #clapforheroes
81,"Give. People. Money. And make their lives better in other ways that are easy to understand. This approach probably has limits but we're very far from hitting them.

(It's still a mistake not to prioritize *very* high-risk, hard to fake comorbities for covid vaccinations, though.) https://t.co/l38JCe0gaB"
82,@deeemm74965102 @darrengrimes_ Sorry to burst your bubble NHS are working Sundays including vaccinations...that’s what happens when you follow fake news.
83,"Trudeau is prolonging the fake vaccinations so that he may continue his tyranny unchecked with no accountability and with no transparency! Trudeau gets his Marching orders from the Chinese Communist Party! Now with Trump out of the picture, Trudeau will bring Canada to its knees https://t.co/Ouv3BOJStf"
84,"@DrAseemMalhotra Nonsense, those who are healthy do not need vaccinations, those who are unhealthy are at risk of adverse reactions. Fake science. https://t.co/7xYdGyLl6v"
85,Ça va passer ... #Vaccin #vaccinations  #NoFakesScience #CovidVaccine https://t.co/03vrjdC5X0
86,"So, as the vaccine is the only game in town, here's how we left yesterday:

The One Party State demands immediate vaccinations with ""Mr Fake"" wanting it made LAW, in lockstep with ""Bumbling Boris"" whilst Nigel Farage wants Tony Blair to control the roll out

GOD HELP US

#COVID19"
87,"@RachelBrexit14 This is not true, the gov have repeatedly stated both vaccinations will be the same. Don’t believe fake facts!"
88,@DrTomFrieden Due to government ineptitude Vancouver announces it will open InSite the safe injection site on East Hastings for do-it-yourself Vaccinations. Please bring your own syringes. (We're currently in short supply due to the bad meth going around..) https://t.co/tlSzS7nK1I
89,@ntyravgdramaqun @ev0l @hammoudmo1 @EdTubb The vaccinations are useless.  BigPharma NWO wants governments to spend all the money they borrowed for this fake pandemic on vaccines.  So the first one supposedly just hides symptoms for 3 mos. and you need another one.
90,how to make a transparent system prevent fake vaccinations ?
